"","å1","å3","å4","å5","score"
"431",2,2,2,3,0.595383926668002
"434",2,1,1,1,-0.586793740364119
"436",1,2,3,1,0.064473261397189
"438",1,1,1,0,-1.45766343560472
"439",2,1,1,3,0.0644732613971891
"440",2,1,1,1,-0.586793740364119
"441",4,3,3,4,1.90488955117537
"442",1,1,1,1,-0.988670454489805
"444",1,2,3,2,0.339315465917388
"445",2,3,3,1,0.595383926668002
"446",2,2,3,3,0.842098903629799
"447",1,0,1,2,-0.988670454489805
"448",3,2,2,4,1.0880299029103
"449",2,2,4,3,1.0880299029103
"450",4,4,4,4,2.59262162166474
"451",2,5,3,1,1.0880299029103
"452",2,3,2,2,0.595383926668002
"454",5,3,3,5,2.59262162166474
"455",4,3,2,4,1.6110732018873
"459",1,1,1,1,-0.988670454489805
"460",1,1,1,1,-0.988670454489805
"461",0,2,0,2,-0.988670454489805
"462",1,1,2,2,-0.240050442735967
"463",1,2,1,1,-0.586793740364119
"464",5,4,2,2,1.6110732018873
"465",1,1,3,2,0.0644732613971889
"467",4,3,3,3,1.6110732018873
"470",4,3,4,4,2.23010784453195
"472",5,4,4,4,3.00299162461452
"473",4,3,3,2,1.34149926246329
"474",5,5,4,0,1.90488955117537
"475",4,4,5,5,3.49100234712801
"476",1,3,3,1,0.339315465917388
"479",1,1,3,3,0.339315465917388
"480",3,3,0,1,0.0644732613971889
"481",5,5,5,5,4
"482",3,3,4,4,1.90488955117537
"483",4,3,4,4,2.23010784453195
"484",0,1,2,0,-1.45766343560472
"485",4,4,4,4,2.59262162166474
"486",4,4,4,4,2.59262162166474
"488",0,1,1,1,-1.45766343560472
"489",2,1,2,2,0.0644732613971889
"490",2,2,2,2,0.339315465917388
"491",1,3,3,3,0.842098903629799
"492",0,2,2,2,-0.240050442735967
"493",5,5,5,4,4
"494",3,3,2,3,1.0880299029103
"495",4,5,4,4,3.00299162461452
"496",3,5,5,5,3.49100234712801
"497",4,3,4,4,2.23010784453195
"498",1,1,3,3,0.339315465917388
"500",3,3,1,3,0.842098903629799
"501",5,4,4,2,2.23010784453195
"503",1,2,3,3,0.595383926668002
"504",4,3,4,4,2.23010784453195
"505",1,0,1,0,-2.01436788263421
"506",2,1,2,4,0.595383926668002
"507",4,5,5,3,3.00299162461452
"508",2,2,3,5,1.34149926246329
"511",0,2,1,1,-0.988670454489805
"512",1,3,3,2,0.595383926668002
"513",3,4,4,4,2.23010784453195
"514",2,1,2,2,0.0644732613971889
"516",4,1,2,2,0.595383926668002
"517",2,2,3,2,0.595383926668002
"518",5,3,4,4,2.59262162166474
"519",1,2,4,5,1.34149926246328
"520",2,2,3,0,0.0644732613971891
"521",1,0,1,4,-0.240050442735967
"523",5,4,3,3,2.23010784453195
"524",3,5,5,2,2.23010784453195
"526",4,4,4,4,2.59262162166474
"528",2,2,3,4,1.0880299029103
"529",4,3,4,3,1.90488955117537
"530",3,2,2,1,0.339315465917388
"531",4,1,2,2,0.595383926668002
"532",5,5,1,4,2.23010784453195
"533",2,2,2,1,0.064473261397189
"534",4,3,3,2,1.34149926246329
"535",1,1,2,2,-0.240050442735967
"537",3,2,2,5,1.34149926246329
"538",2,2,2,0,-0.240050442735967
"539",4,4,4,4,2.59262162166474
"540",3,2,3,3,1.0880299029103
"541",3,3,4,3,1.6110732018873
"542",1,3,2,2,0.339315465917388
"543",1,2,2,4,0.595383926668002
"545",5,4,5,4,3.49100234712801
"546",1,1,3,2,0.0644732613971889
"547",2,1,1,0,-0.988670454489805
"548",4,3,4,4,2.23010784453195
"549",4,3,4,3,1.90488955117537
"550",3,3,3,4,1.6110732018873
"551",4,1,2,1,0.339315465917388
"554",3,2,3,3,1.0880299029103
"555",3,3,3,1,0.842098903629798
"556",5,4,4,2,2.23010784453195
"557",4,3,3,3,1.6110732018873
"559",4,2,3,2,1.0880299029103
"560",1,3,2,2,0.339315465917388
"562",5,5,5,5,4
"563",4,3,2,3,1.34149926246329
"564",3,2,2,2,0.595383926668002
"565",2,3,3,1,0.595383926668002
"566",4,2,4,3,1.6110732018873
"567",2,1,2,2,0.0644732613971889
"568",4,4,4,4,2.59262162166474
"569",1,2,3,2,0.339315465917388
"570",4,3,3,3,1.6110732018873
"571",2,4,3,4,1.6110732018873
"573",2,1,2,3,0.339315465917388
"574",5,4,4,4,3.00299162461452
"575",4,4,4,4,2.59262162166474
